Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category
the inkey list,oat cleansing balm 150ml,8.95,4.28/5,https://www.sephora.co.uk/p/The-INKEY-List-Oat-Cleansing-Balm-150ml,//asset.sephora.co.uk/img/products/113520/the_inkey_list_oat_cleansing_balm_150ml_1639134643_listing.jpg,Cleansers,Budget-Friendly
cerave,hydrating cleanser with hyaluronic acid for normal to dry skin 236ml,7.95,4.61/5,https://www.sephora.co.uk/p/CeraVe-Hydrating-Cleanser-236ml,//asset.sephora.co.uk/img/products/93394/CeraVe_Hydrating_Cleanser_236ml_1540975249_listing.jpg,Cleansers,Budget-Friendly
cerave,foaming cleanser with niacinamide for normal to oily skin 236ml,7.95,4.6/5,https://www.sephora.co.uk/p/CeraVe-Foaming-Facial-Cleanser-236ml,//asset.sephora.co.uk/img/products/93390/CeraVe_Foaming_Facial_Cleanser_236ml_1540975845_listing.jpg,Cleansers,Budget-Friendly
sephora collection,cleansing wipes x 20,4.45,3.9/5,https://www.sephora.co.uk/p/SEPHORA-COLLECTION-Cleansing-Wipes-x-20,//asset.sephora.co.uk/img/products/172474/sephora_collection_cleansing_wipes_x_20-1679127486_listing.jpg,Cleansers,Budget-Friendly
cerave,"sa smoothing cleanser with salicylic acid for dry, rough & bumpy skin 236ml",9.95,4.58/5,https://www.sephora.co.uk/p/CeraVe-Smoothing-Cleanser-236ml,//asset.sephora.co.uk/img/products/108174/cerave_smoothing_cleanser_236ml_1564129862_listing.jpg,Cleansers,Budget-Friendly
the inkey list,salicylic acid cleanser 150ml,8.95,4.41/5,https://www.sephora.co.uk/p/The-INKEY-List-Salicylic-Acid-Cleanser-150ml,//asset.sephora.co.uk/img/products/149546/the_inkey_list_salicylic_acid_cleanser_150ml_1625038707_listing.jpg,Cleansers,Budget-Friendly
sephora collection,dual exfoliating wipes grapefruit extract + fruit acids,4.45,3.82/5,https://www.sephora.co.uk/p/SEPHORA-COLLECTION-Dual-Exfoliating-Wipes-Grapefruit-Extract--Fruit-Acids,//asset.sephora.co.uk/img/products/172442/sephora_collection_dual_exfoliating_wipes_grapefruit_extract_fruit_acids-1679041085_listing.jpg,Cleansers,Budget-Friendly
cosrx,salicylic acid daily gentle cleanser 150ml,12.55,4.95/5,https://www.sephora.co.uk/p/COSRX-Salicylic-Acid-Daily-Gentle-Cleanser-150ml,//asset.sephora.co.uk/img/products/116119/cosrx_salicylic_acid_daily_gentle_cleanser_150ml_1591268001_listing.jpg,Cleansers,Budget-Friendly
farmacy,beauty green clean makeup meltaway cleansing balm 50ml,17.95,4.48/5,https://www.sephora.co.uk/p/Farmacy-Beauty-GREEN-CLEAN-Makeup-Meltaway-Cleansing-Balm-50ml,//asset.sephora.co.uk/img/products/117528/farmacy_beauty_green_clean_makeup_meltaway_cleansing_balm_50ml_1650370302_listing.jpg,Cleansers,Budget-Friendly
cerave,hydrating foaming oil cleanser 236ml,10.1,4.61/5,https://www.sephora.co.uk/p/CeraVe-Hydrating-Foaming-Oil-Cleanser-236ml,//asset.sephora.co.uk/img/products/160278/cerave_hydrating_foaming_oil_cleanser_236ml_1642075436_listing.jpg,Cleansers,Budget-Friendly
cerave,hydrating cream-to-foam cleanser with amino acids for normal to dry skin 236ml,10.1,4.54/5,https://www.sephora.co.uk/p/CeraVe-Hydrating-Cream-to-Foam-Cleanser-236ml,//asset.sephora.co.uk/img/products/126513/cerave_hydrating_cream_to_foam_cleanser_236ml_1599648403_listing.jpg,Cleansers,Budget-Friendly
cerave,hydrating cleanser with hyaluronic acid - normal to dry skin 473ml,12.95,4.61/5,https://www.sephora.co.uk/p/CeraVe-Hydrating-Cleanser-473ml,//asset.sephora.co.uk/img/products/93395/CeraVe_Hydrating_Cleanser_473ml_1540976608_listing.jpg,Cleansers,Budget-Friendly
bioderma,sensibio h20 micellar water 850ml,16.8,4.59/5,https://www.sephora.co.uk/p/BIODERMA-Sensibio-H20-Micellar-Water-850ml,//asset.sephora.co.uk/img/products/173436/bioderma_sensibio_h20_micellar_water_850ml-1683357666_listing.jpg,Cleansers,Budget-Friendly
