Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category,Gender,Ingredients
kiehl's,blue herbal cleanser 150ml,22.0,4.5/5,https://www.sephora.co.uk/p/Kiehls-Blue-Herbal-Cleanser-150ml,//asset.sephora.co.uk/img/products/77200/Kiehl__039_s_Blue_Herbal_Cleanser_150ml_1495442010_listing.jpg,Cleansers,No range,Mens,N/A
kiehl's,facial fuel energizing face wash 250ml,26.0,4.79/5,https://www.sephora.co.uk/p/Kiehls-Facial-Fuel-Energizing-Face-Wash-250ml,//asset.sephora.co.uk/img/products/60912/Kiehl_s_Facial_Fuel_Cleanser_250ml_1442301073_listing.jpg,Cleansers,No range,Mens,"Fmla 685312, Aqua, Glycerin, Ammonium Lauryl Sulfate, Propylene Glycol, Caprylyl Glycol, Coco-Betaine, Acrylates, Tea-Lauryl Sulfate, Triethanolamine, Coco-Glucoside, Phenoxyethanol, Decyl Glucoside, Methylparaben, Parfum, Benzophenone-3, Disodium Edta, Propylparaben, Zea Mays, Caffeine, Menthol, Limonene, Polyquaternium-39, Tocopherol, Citrus Aurantium Dulcis Extract, Citrus Medica Limonum Peel Extract, Castanea Sativa, Ci 42090, Ci 14700, F
            "
clinique,for men charcoal face wash 200ml,24.0,4.66/5,https://www.sephora.co.uk/p/Clinique-for-Men-Charcoal-Face-Wash-200ml,//asset.sephora.co.uk/img/products/59136/Clinique_for_Men_Charcoal_Face_Wash_200ml_1437729690_listing.jpg,Cleansers,No range,Mens,"Water\Aqua\Eau, Cocamidopropyl Hydroxysultaine, Coco-Betaine, Sodium Lauroyl Oat Amino Acids, Decyl Glucoside, Sodium Cocoyl Sarcosinate, Acrylates Copolymer, Sodium Chloride, Disodium Cocoyl Glutamate, Glycerin, Caffeine, Sodium Cocoyl Glutamate, Monosodium Citrate, Butylene Glycol, Citric Acid, Charcoal Powder, Sodium Hydroxide, Disodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol, Iron Oxides (Ci 77499) <ILN41516>.
            "
clinique,for men face wash 200ml,20.0,4.44/5,https://www.sephora.co.uk/p/Clinique-for-Men-Face-Wash-200ml,//asset.sephora.co.uk/img/products/52613/Clinique_for_Men_Face_Wash_200ml_1410609086_listing.jpg,Cleansers,No range,Mens,"Water\Aqua\Eau, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Hydroxysultaine, Lauramidopropyl Betaine, Sodium Cocoyl Sarcosinate, Tea-Cocoyl Glutamate, Aloe Barbadensis Leaf Juice, Sodium Hyaluronate, Sucrose, Di-Ppg-2 Myreth-10 Adipate, Hexylene Glycol, Chamomilla Recutita (Matricaria), Butylene Glycol, Caprylyl Glycol, Cetyl Triethylmonium Dimethicone Peg-8 Succinate, Sodium Sulfate, Polyquaternium-7, Laureth-2, Peg-120 Methyl Glucose Dioleate, Tocopheryl Acetate, Edta, Disodium Edta, Sodium Benzoate, Phenoxyethanol <ILN36232>.
            "
liz earle,for men cleanse & polish 100ml,14.0,4.74/5,https://www.sephora.co.uk/p/Liz-Earle-for-Men-Cleanse-and-Polish-100ml,//asset.sephora.co.uk/img/products/57437/Liz_Earle_for_Men_Cleanse__amp__Polish_100ml_1432301378_listing.jpg,Cleansers,No range,Mens,N/A
kiehl's,facial fuel energizing face wash 1l,65.0,5/5,https://www.sephora.co.uk/p/Kiehls-Facial-Fuel-Energizing-Face-Wash-1L,//asset.sephora.co.uk/img/products/78382/Kiehl__039_s_Facial_Fuel_Energizing_Face_Wash_1L_1524301871_listing.jpg,Cleansers,No range,Mens,N/A
bulldog skincare for men,oil control face wash 150ml,5.0,4.72/5,https://www.sephora.co.uk/p/Bulldog-Oil-Control-Face-Wash-150ml,//asset.sephora.co.uk/img/products/72448/Bulldog_Oil_Control_Face_Wash_150ml_1519208165_listing.jpg,Cleansers,No range,Mens,"Aqua (Water), Cocamidopropyl betaine, Glycerin, Coco-glucoside, Acrylates/C10-30 alkyl acrylate crosspolymer, Phenoxyethanol, Sodium chloride, Sodium lauroyl sarcosinate, Benzoic acid, Parfum (Fragrance)*, Hamamelis virginiana (Witch hazel) water, Dehydroacetic acid, Alcohol, Salix alba (Willow) bark extract, Juniperus communis fruit extract, Potassium sorbate, Sodium benzoate, Sodium hydroxide. *a blend of natural ingredients.
            "
la mer,the essence foaming cleanser 30ml,30.0,4.67/5,https://www.sephora.co.uk/p/LA-MER-The-Essence-Foaming-Cleanser-30ml?q=toners+men&q_typ=f,//asset.sephora.co.uk/img/products/178577/la_mer_the_essence_foaming_cleanser_30ml-1737188167_listing.jpg,Toners,No range,Mens,
dior,sauvage the toner 100ml,50.0,4.9/5,https://www.sephora.co.uk/p/dior-sauvage-the-toner-100ml?q=toners+men&q_typ=f,//asset.sephora.co.uk/img/products/179151/dior_sauvage_the_toner_100ml-1726298381_listing.jpg,Toners,No range,Mens,"#19046 AQUA (WATER), PENTYLENE GLYCOL, PROPANEDIOL, GLYCERIN, POLYGLYCERIN-3, PPG-26-BUTETH-26, CHLORPHENESIN, PEG-40 HYDROGENATED CASTOR OIL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, MENTHOXYPROPANEDIOL, ALLANTOIN, PARFUM (FRAGRANCE), BUTYLENE GLYCOL, SODIUM HYDROXIDE, OPUNTIA COCCINELLIFERA FLOWER EXTRACT, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, SODIUM METABISULFITE, TRIETHYL CITRATE, CINNAMOMUM CASSIA BARK EXTRACT, SANGUISORBA OFFICINALIS ROOT EXTRACT, ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
            "
dior,sauvage the cleanser 125ml,43.0,4.91/5,https://www.sephora.co.uk/p/dior-sauvage-the-cleanser-125ml?q=toners+men&q_typ=f,//asset.sephora.co.uk/img/products/179149/dior_sauvage_the_cleanser_125ml-1708071483_listing.jpg,Toners,No range,Mens,"#19066 AQUA (WATER), LAURYL GLUCOSIDE, COCAMIDOPROPYL BETAINE, DISODIUM COCOYL GLUTAMATE, ACRYLATES COPOLYMER, GLYCERIN, PENTYLENE GLYCOL, 1,2-HEXANEDIOL, SODIUM COCOYL GLUTAMATE, POLYGLYCERYL-10 STEARATE, MENTHOXYPROPANEDIOL, PARFUM (FRAGRANCE), SODIUM BENZOATE, POLYGLYCERYL-10 OLEATE, HYDROXYACETOPHENONE, SODIUM HYDROXIDE, CHARCOAL POWDER, CI 77499 (IRON OXIDES), CITRIC ACID, OPUNTIA COCCINELLIFERA FLOWER EXTRACT, SILICA, CAPRYLYL GLYCOL, TRIETHYL CITRATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
            "
