Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category,Ingredients,Gender,Similarity,Rank
bioderma,pigmentbio brightening micellar water 250ml,10.4,4.835,https://www.sephora.co.uk/p/BIODERMA-Pigmentbio-Brightening-Micellar-Water-250ml,https:////asset.sephora.co.uk/img/products/120506/bioderma_pigmentbio_brightening_micellar_water_250ml_1637586984_listing.jpg,Cleansers,Budget-Friendly,"Aqua/water/eau, Peg-6 Caprylic/capric Glycerides, Polysorbate 20, Dipropylene Glycol, Peg-40 Hydrogenated Castor Oil, Fructooligosaccharides, Disodium Edta, Mannitol, Xylitol, Cetrimonium Bromide, Butylene Glycol, Lysine, Azelaic Acid, Andrographis Paniculata Leaf Extract, Rhamnose, Hexapeptide-2. 
",Womens,0.13097869368622667,1
cosrx,hydrium triple hyaluronic moisturizing cleanser 150ml,13.3,4.595,https://www.sephora.co.uk/p/COSRX-Hydrium-Triple-Hyaluronic-Moisturizing-Cleanser-150ml,https:////asset.sephora.co.uk/img/products/122855/cosrx_hydrium_triple_hyaluronic_moisturizing_cleanser_150ml_1597835392_listing.jpg,Cleansers,Budget-Friendly,"Water, Glycerin, Stearic Acid, Myristic Acid, Lauric Acid, Potassium Hydroxide, Palmitic Acid, Potassium Cocoyl Glycinate, Coco-Glucoside, Glyceryl Stearate, Fragrance(Parfum), Polyquaternium-7, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Cocoyl Isethionate, Arachidic Acid, Disodium EDTA, 1,2-Hexanediol, Oleic Acid, Sodium Benzoate, Quillaja Saponaria Bark Extract, Citric Acid, Butylene Glycol, Panthenol, Hyaluronic Acid, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate
            ",Womens,0.12832105898233406,2
cosrx,advanced snail peptide eye cream 25ml,21.0,4.565,https://www.sephora.co.uk/p/COSRX-Advanced-Snail-Peptide-Eye-Cream-25ml,https:////asset.sephora.co.uk/img/products/122840/cosrx_advanced_snail_peptide_eye_cream_25ml_1597833634_listing.jpg,Eye-Creams,Budget-Friendly,"Snail Secretion Filtrate, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, 1,2-Hexanediol, Niacinamide, Water, Palmitic Acid, Arginine, Carbomer, Stearic Acid, Betaine, Cetearyl Olivate, Sorbitan Olivate, Sodium Polyacrylate, Allantoin, Tocopheryl Acetate, Panthenol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Adenosine, Xanthan Gum, Myristic Acid, Copper Tripeptide-1, Acetyl Hexapeptide-8, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7.
            ",Womens,0.042040192303554505,1
farmacy,wake up honey eye cream 15ml,42.0,4.345,https://www.sephora.co.uk/p/FARMACY-Wake-Up-Honey-Eye-Cream-15ml,https:////asset.sephora.co.uk/img/products/171604/farmacy_wake_up_honey_eye_cream_15ml-1710839162_listing.jpg,Eye-Creams,Budget-Friendly,"WATER/AQUA/EAU, GLYCERIN, COCO-CAPRYLATE/CAPRATE, PENTAERYTHRITYL TETRAISOSTEARATE, DIISOSTEARYL MALATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, CETEARYL ALCOHOL, TETRAHEXYLDECYL ASCORBATE, CETEARYL OLIVATE, PENTYLENE GLYCOL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL UNSAPONIFIABLES, SORBITAN OLIVATE, BORON NITRIDE, CAFFEINE, HYALURONIC ACID, CERAMIDE NP, VACCINIUM MACROCARPON (CRANBERRY) FRUIT EXTRACT, COFFEA ARABICA (COFFEE) SEED EXTRACT, HONEY EXTRACT, PROPOLIS EXTRACT, ROYAL JELLY EXTRACT, CITRUS AURANTIUM AMARA (BITTER ORANGE) FRUIT EXTRACT, CITRUS AURANTIUM SINENSIS PEEL EXTRACT, CITRUS RETICULATA (TANGERINE) FRUIT EXTRACT, ASCORBIC ACID, TRIDECAPEPTIDE-1, BETAINE, TRIOLEIN, HYDROXYACETOPHENONE, TOCOPHERYL ACETATE, ASTAXANTHIN, ALLANTOIN, HIPPOPHAE RHAMNOIDES OIL, TOCOPHEROL, UBIQUINONE, LECITHIN, HAEMATOCOCCUS PLUVIALIS EXTRACT, GLYCERYL DIOLEATE, SCLEROTIUM GUM, HEXAMIDINE DIISETHIONATE, SODIUM PHYTATE, CITRIC ACID, LACTIC ACID, MALIC ACID, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL
            ",Womens,0.04073574078267741,2
cerave,"sa smoothing cream with salicylic acid for dry, rough & bumpy skin 340g",15.7,4.545,https://www.sephora.co.uk/p/CeraVe-Smoothing-Cream-340g,https:////asset.sephora.co.uk/img/products/108175/cerave_smoothing_cream_340g_1564129781_listing.jpg,Moisturizers,Budget-Friendly,"Purified Water, Glycerin, Behentrimonium Methosulfate And Cetearyl Alcohol, Mineral Oil, Glyceryl Stearate Se, Ammonium Lactate, Salicylic Acid, Triethanolamine, Cetyl Alcohol, Niacinamide, Peg-100 Stearate, Cholecalciferol (Vitamin D3 In Corn Oil), Ceramide 3, Ceramide 6-Ii, Ceramide 1, Cholesterol, Phytosphingosine, Hyaluronic Acid, Phenoxyethanol, Dimethicone, Methylparaben, Edetate Disodium, Propylparaben, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum
            ",Womens,0.16107371953574723,1
cetaphil,gentle clear mattifying blemish face moisturiser 89ml,16.0,4.655,https://www.sephora.co.uk/p/CETAPHIL-Gentle-Clear-Mattifying-Blemish-Face-Moisturiser-89ml,https:////asset.sephora.co.uk/img/products/175509/cetaphil_gentle_clear_mattifying_blemish_face_moisturiser_89ml-1700122613_listing.jpg,Moisturizers,Budget-Friendly,"AQUA, BUTYLENE GLYCOL, DIMETHICONE , CETEARYL ALCOHOL, SODIUM POLYACRYLATE, GLYCERIN, CETEARETH-20, ETHYLHEXYL PALMITATE, HYDROGENATED POLYDECENE, CETYL ALCOHOL, STEARYL ALCOHOL, ALUMINUM STARCH OCTENYLSUCCINATE , PHENOXYETHANOL, PPG-2 MYRISTYL ETHER PROPIONATE, ALPHA-GLUCAN OLIGOSACCHARIDE, SALICYLIC ACID , POLYSORBATE 60, SQUALANE, CAPRYLIC/CAPRIC GLYCERIDES, CAPRYLYL GLYCOL, ZINC GLUCONATE, C12-15 ALKYL LACTATE, MORUS ALBA ROOT EXTRACT, ALLANTOIN, BISABOLOL, ETHYLHEXYLGLYCERIN, HEXYLENE GLYCOL, SAFFLOWER OIL/PALM OIL AMINOPROPANEDIOL ESTERS, SODIUM HYDROXIDE, PPG-5-LAURETH-5, KOJIC ACID, DISODIUM EDTA, HYDROXYPROPYL CYCLODEXTRIN, SOPHORA ANGUSTIFOLIA ROOT EXTRACT, ARCTOSTAPHYLOS UVA URSI LEAF EXTRACT, GLYCYRRHIZA GLABRA ROOT EXTRACT, POLYQUATERNIUM-11, SCUTELLARIA BAICALENSIS ROOT EXTRACT, SODIUM HYALURONATE. FIL 1753.V00
            ",Womens,0.11565124017845074,2
bioderma,pigmentbio brightening vitamin c face serum 15ml,20.3,4.55,https://www.sephora.co.uk/p/BIODERMA-Pigmentbio-C-Concentrate-Brightening-Pigmentation-Corrector-15ml-FR,https:////asset.sephora.co.uk/img/products/115543/bioderma_pigmentbio_brightening_vitamin_c_face_serum_15ml_1637587054_listing.jpg,Serums,Budget-Friendly,"Aqua/water/eau, Propanediol, Glycolic Acid, Glycerin, Dipropylene Glycol, Propylheptyl Caprylate, Sodium Hydroxide, Ascorbyl Glucoside, Niacinamide, Salicylic Acid, Ammonium Acryloyldimethyltaurate/vp Copolymer, Sorbitan Sesquioleate, Pentylene Glycol, Tocopheryl Acetate, Xanthan Gum, Sodium Citrate, Lysine, Azelaic Acid, Mannitol, Xylitol, Sodium Metabisulfite, Andrographis Paniculata Leaf Extract, Rhamnose, Saccharide Isomerate, Glycyrrhiza Glabra (licorice) Root Extract, Tocopherol, Fructooligosaccharides, Caprylic/capric Triglyceride, Laminaria Ochroleuca Extract, Fragrance (parfum). 
",Womens,0.12422025596614625,1
the inkey list,supersolutions 10% azelaic acid serum 30ml,11.9,4.245,https://www.sephora.co.uk/p/THE-INKEY-LIST-SuperSolutions-10-Azelaic-Acid-Serum-30ml,https:////asset.sephora.co.uk/img/products/172459/the_inkey_list_supersolutions_10_azelaic_acid_serum_30ml-1679127416_listing.jpg,Serums,Budget-Friendly,"AQUA (WATER), AZELAIC ACID, PROPANEDIOL, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, PHENOXYETHANOL, ACACIA SENEGAL GUM, XANTHAN GUM, ALLANTOIN, GLYCERIN, ETHYLHEXYLGLYCERIN, POLYSORBATE 60, SORBITAN ISOSTEARATE, MALTODEXTRIN, SODIUM HYDROXIDE, HYDROLYZED GARDENIA FLORIDA EXTRACT, GARDENIA FLORIDA FRUIT EXTRACT, POLYLYSINE.
            ",Womens,0.09801066898533145,2
bioderma,photoderm anti-redness tinted sunscreen spf50+ 30ml,14.9,5.0,https://www.sephora.co.uk/p/BIODERMA-Photoderm-Anti-Redness-Tinted-Sunscreen-SPF50-30ml,https:////asset.sephora.co.uk/img/products/163860/bioderma_photoderm_anti_redness_tinted_sunscreen_spf50_30ml-1718262990_listing.jpg,Sunscreens,Budget-Friendly,"AQUA/WATER/EAU, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, HOMOSALATE, DIISOPROPYL SEBACATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DIBUTYL ADIPATE, PROPANEDIOL, ETHYLHEXYL SALICYLATE, ETHYLHEXYL TRIAZONE, GLYCERIN, SILICA, POTASSIUM CETYL PHOSPHATE, GLYCERYL STEARATE, PEG-100 STEARATE, PROPYLENE GLYCOL, POLYACRYLATE CROSSPOLYMER-6, STEARYL GLYCYRRHETINATE, TOCOPHERYL ACETATE, TITANIUM DIOXIDE (CI 77891), CAPRYLOYL GLYCINE, SODIUM CITRATE, XANTHAN GUM, GLYCINE SOJA (SOYBEAN) GERM EXTRACT, ECTOIN, MANNITOL, XYLITOL, CITRIC ACID, GINKGO BILOBA LEAF EXTRACT, SODIUM HYDROXIDE, IRON OXIDES (CI 77492), RHAMNOSE, IRON OXIDES (CI 77491), IRON OXIDES (CI 77499), HYDROGENATED LECITHIN, LAUROYL LYSINE, FRUCTOOLIGOSACCHARIDES, CAPRYLIC/CAPRIC TRIGLYCERIDE, LAMINARIA OCHROLEUCA EXTRACT. 
",Womens,0.009245698993214585,1
bioderma,photoderm anti-redness tinted sunscreen spf50+ 30ml,14.9,5.0,https://www.sephora.co.uk/p/BIODERMA-Photoderm-Anti-Redness-Tinted-Sunscreen-SPF50-30ml,https:////asset.sephora.co.uk/img/products/163860/bioderma_photoderm_anti_redness_tinted_sunscreen_spf50_30ml-1718262990_listing.jpg,Sunscreens,Budget-Friendly,"AQUA/WATER/EAU, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, HOMOSALATE, DIISOPROPYL SEBACATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DIBUTYL ADIPATE, PROPANEDIOL, ETHYLHEXYL SALICYLATE, ETHYLHEXYL TRIAZONE, GLYCERIN, SILICA, POTASSIUM CETYL PHOSPHATE, GLYCERYL STEARATE, PEG-100 STEARATE, PROPYLENE GLYCOL, POLYACRYLATE CROSSPOLYMER-6, STEARYL GLYCYRRHETINATE, TOCOPHERYL ACETATE, TITANIUM DIOXIDE (CI 77891), CAPRYLOYL GLYCINE, SODIUM CITRATE, XANTHAN GUM, GLYCINE SOJA (SOYBEAN) GERM EXTRACT, ECTOIN, MANNITOL, XYLITOL, CITRIC ACID, GINKGO BILOBA LEAF EXTRACT, SODIUM HYDROXIDE, IRON OXIDES (CI 77492), RHAMNOSE, IRON OXIDES (CI 77491), IRON OXIDES (CI 77499), HYDROGENATED LECITHIN, LAUROYL LYSINE, FRUCTOOLIGOSACCHARIDES, CAPRYLIC/CAPRIC TRIGLYCERIDE, LAMINARIA OCHROLEUCA EXTRACT. 
",Womens,,2
